step,depth,i
182,17,2.37502e-05
182,18,8.92172e-07
183,14,2.47113e-05
183,15,6.14961e-05
183,16,5.19419e-05
183,17,2.41128e-05
183,18,9.47177e-07
184,14,2.29039e-05
184,15,5.87389e-05
184,16,5.11866e-05
184,17,2.44695e-05
184,18,9.8357e-07
185,14,2.12365e-05
185,15,5.60826e-05
185,16,5.04602e-05
185,17,2.48201e-05
185,18,1.06181e-06
186,14,1.9679e-05
186,15,5.35829e-05
186,16,4.96823e-05
186,17,2.52148e-05
186,18,1.11156e-06
187,14,1.82337e-05
187,15,5.11831e-05
187,16,4.89439e-05
187,17,2.55639e-05
187,18,1.22289e-06
188,14,1.69024e-05
188,15,4.88789e-05
188,16,4.82245e-05
188,17,2.59369e-05
188,18,1.27192e-06
189,14,1.56672e-05
189,15,4.66763e-05
189,16,4.75138e-05
189,17,2.62942e-05
189,18,1.34289e-06
190,14,1.4531e-05
190,15,4.45308e-05
190,16,4.68119e-05
190,17,2.67055e-05
190,18,1.39668e-06
191,14,1.34767e-05
191,15,4.24602e-05
191,16,4.61588e-05
191,17,2.70915e-05
191,18,1.4526e-06
192,14,1.24986e-05
192,15,4.05313e-05
192,16,4.54837e-05
192,17,2.74519e-05
192,18,1.53113e-06
193,14,1.15812e-05
193,15,3.87178e-05
193,16,4.47971e-05
193,17,2.78163e-05
193,18,1.61278e-06
194,14,1.073e-05
194,15,3.69847e-05
194,16,4.41093e-05
194,17,2.82148e-05
194,18,1.67767e-06
195,14,9.95042e-06
195,15,3.53185e-05
195,16,4.34303e-05
195,17,2.86078e-05
195,18,1.75513e-06
196,14,9.22721e-06
196,15,3.37063e-05
196,16,4.27801e-05
196,17,2.89853e-05
196,18,1.85524e-06
197,14,8.54634e-06
197,15,3.21859e-05
197,16,4.21383e-05
197,17,2.9367e-05
197,18,1.93892e-06
198,14,7.91476e-06
198,15,3.07031e-05
198,16,4.15348e-05
198,17,2.97631e-05
198,18,2.04631e-06
199,14,7.33894e-06
199,15,2.92865e-05
199,16,4.09292e-05
199,17,3.01635e-05
199,18,2.10675e-06
200,14,6.80484e-06
200,15,2.7953e-05
200,16,4.03116e-05
200,17,3.05785e-05
200,18,2.19076e-06
201,14,6.30947e-06
201,15,2.6679e-05
201,16,3.96721e-05
201,17,3.10182e-05
201,18,2.27808e-06
202,14,5.85001e-06
202,15,2.5452e-05
202,16,3.90811e-05
202,17,3.14329e-05
202,18,2.37884e-06
203,14,5.42389e-06
203,15,2.42698e-05
203,16,3.85081e-05
203,17,3.18523e-05
203,18,2.47356e-06
204,14,5.0287e-06
204,15,2.31706e-05
204,16,3.79026e-05
204,17,3.22665e-05
204,18,2.60241e-06
205,14,4.66219e-06
205,15,2.20905e-05
205,16,3.73454e-05
205,17,3.26952e-05
205,18,2.70595e-06
206,14,4.3123e-06
206,15,2.10989e-05
206,16,3.67457e-05
206,17,3.31288e-05
206,18,2.84395e-06
207,14,3.99784e-06
207,15,2.01218e-05
207,16,3.61741e-05
207,17,3.35973e-05
207,18,2.977e-06
208,14,3.69623e-06
208,15,1.91885e-05
208,16,3.56404e-05
208,17,3.40311e-05
208,18,3.14448e-06
209,14,3.41655e-06
209,15,1.83071e-05
209,16,3.51039e-05
209,17,3.44698e-05
209,18,3.25736e-06
209,19,1e-08
210,14,3.16721e-06
210,15,1.74754e-05
210,16,3.45547e-05
210,17,3.49033e-05
210,18,3.39507e-06
210,19,1e-08
211,14,2.926e-06
211,15,1.6671e-05
211,16,3.40332e-05
211,17,3.53517e-05
211,18,3.54817e-06
211,19,2e-08
212,14,2.71235e-06
212,15,1.59128e-05
212,16,3.34988e-05
212,17,3.58051e-05
212,18,3.70729e-06
212,19,2e-08
213,14,2.51425e-06
213,15,1.51888e-05
213,16,3.29518e-05
213,17,3.62835e-05
213,18,3.86226e-06
213,19,3e-08
214,14,2.33058e-06
214,15,1.44774e-05
214,16,3.24625e-05
214,17,3.67573e-05
214,18,4.03369e-06
214,19,4e-08
215,14,2.15028e-06
215,15,1.38281e-05
215,16,3.194e-05
215,17,3.72563e-05
215,18,4.15104e-06
215,19,5e-08
216,14,1.98312e-06
216,15,1.3198e-05
216,16,3.14548e-05
216,17,3.7721e-05
216,18,4.34455e-06
216,19,2e-08
217,14,1.83814e-06
217,15,1.25864e-05
217,16,3.09463e-05
217,17,3.82408e-05
217,18,4.56484e-06
217,19,2e-08
218,14,1.70373e-06
218,15,1.20024e-05
218,16,3.04751e-05
218,17,3.87064e-05
218,18,4.85178e-06
218,19,1e-08
219,14,1.57912e-06
219,15,1.14547e-05
219,16,2.99705e-05
219,17,3.9217e-05
219,18,5.05316e-06
219,19,1e-08
220,14,1.46359e-06
220,15,1.09319e-05
220,16,2.9493e-05
220,17,3.97034e-05
220,18,5.29279e-06
220,19,2e-08
221,14,1.35649e-06
221,15,1.04227e-05
221,16,2.90223e-05
221,17,4.01851e-05
221,18,5.5406e-06
221,19,2e-08
222,14,1.25721e-06
222,15,9.94649e-06
222,16,2.85582e-05
222,17,4.0692e-05
222,18,5.76769e-06
222,19,3e-08
223,14,1.16517e-06
223,15,9.48187e-06
223,16,2.81008e-05
223,17,4.12144e-05
223,18,5.99403e-06
223,19,2e-08
224,14,1.07985e-06
224,15,9.03829e-06
224,16,2.76499e-05
224,17,4.17126e-05
224,18,6.28997e-06
224,19,4e-08
225,14,1.00076e-06
225,15,8.62482e-06
225,16,2.72155e-05
225,17,4.22362e-05
225,18,6.55666e-06
225,19,2e-08
226,14,9.2745e-07
226,15,8.2301e-06
226,16,2.67573e-05
226,17,4.27854e-05
226,18,6.81334e-06
226,19,1e-08
227,14,8.59492e-07
227,15,7.84328e-06
227,16,2.63256e-05
227,17,4.33506e-05
227,18,7.05999e-06
227,19,1e-08
228,14,7.965e-07
228,15,7.48401e-06
228,16,2.59002e-05
228,17,4.3902e-05
228,18,7.327e-06
228,19,1e-08
229,14,7.38112e-07
229,15,7.14106e-06
229,16,2.54909e-05
229,17,4.44394e-05
229,18,7.60475e-06
229,19,2e-08
230,14,6.83992e-07
230,15,6.81368e-06
230,16,2.50775e-05
230,17,4.49925e-05
230,18,7.91326e-06
230,19,2e-08
231,14,6.33829e-07
231,15,6.49117e-06
231,16,2.468e-05
231,17,4.55615e-05
231,18,8.22335e-06
231,19,4e-08
232,14,5.87334e-07
232,15,6.19333e-06
232,16,2.42784e-05
232,17,4.61366e-05
232,18,8.53544e-06
232,19,6e-08
233,14,5.44241e-07
233,15,5.89904e-06
233,16,2.38925e-05
233,17,4.66979e-05
233,18,8.90039e-06
233,19,1e-07
234,14,5.04301e-07
234,15,5.62814e-06
234,16,2.35122e-05
234,17,4.72651e-05
234,18,9.25908e-06
234,19,1.2e-07
235,14,4.67284e-07
235,15,5.36957e-06
235,16,2.31175e-05
235,17,4.78682e-05
235,18,9.61164e-06
235,19,1.27693e-07
236,14,4.32976e-07
236,15,5.12277e-06
236,16,2.27485e-05
236,17,4.84478e-05
236,18,9.99859e-06
236,19,1.45876e-07
237,14,4.0118e-07
237,15,4.88722e-06
237,16,2.23848e-05
237,17,4.90534e-05
237,18,1.03897e-05
237,19,1.7458e-07
238,14,3.71713e-07
238,15,4.6624e-06
238,16,2.20065e-05
238,17,4.96554e-05
238,18,1.08251e-05
238,19,1.8512e-07
239,14,3.44404e-07
239,15,4.44783e-06
239,16,2.16437e-05
239,17,5.02436e-05
239,18,1.12669e-05
239,19,2.16331e-07
240,14,3.19095e-07
240,15,4.23305e-06
240,16,2.12963e-05
240,17,5.08579e-05
240,18,1.17754e-05
240,19,2.18895e-07
241,14,2.95642e-07
241,15,4.01807e-06
241,16,2.09639e-05
241,17,5.14686e-05
241,18,1.23111e-05
241,19,2.52259e-07
242,14,2.73907e-07
242,15,3.83292e-06
242,16,2.06164e-05
242,17,5.20755e-05
242,18,1.27902e-05
242,19,2.96472e-07
243,14,2.53766e-07
243,15,3.65622e-06
243,16,2.0254e-05
243,17,5.27186e-05
243,18,1.3278e-05
243,19,3.51589e-07
244,14,2.35101e-07
244,15,3.48759e-06
244,16,1.99169e-05
244,17,5.33482e-05
244,18,1.38047e-05
244,19,3.78305e-07
245,14,2.17805e-07
245,15,3.32667e-06
245,16,1.95949e-05
245,17,5.39942e-05
245,18,1.43015e-05
245,19,4.26083e-07
246,14,2.01778e-07
246,15,3.1731e-06
246,16,1.92575e-05
246,17,5.46568e-05
246,18,1.48581e-05
246,19,4.62653e-07
247,14,1.86927e-07
247,15,3.02656e-06
247,16,1.89352e-05
247,17,5.5306e-05
247,18,1.5456e-05
247,19,5.02185e-07
248,14,1.73166e-07
248,15,2.88673e-06
248,16,1.86276e-05
248,17,5.59517e-05
248,18,1.60468e-05
248,19,5.5359e-07
249,14,1.60415e-07
249,15,2.75329e-06
249,16,1.83146e-05
249,17,5.66038e-05
249,18,1.6711e-05
249,19,5.87625e-07
250,14,1.486e-07
250,15,2.62597e-06
250,16,1.80162e-05
250,17,5.72423e-05
250,18,1.74201e-05
250,19,6.33816e-07
251,14,1.37653e-07
251,15,2.50448e-06
251,16,1.77122e-05
251,17,5.79269e-05
251,18,1.80856e-05
251,19,6.82299e-07
252,14,1.2751e-07
252,15,2.38855e-06
252,16,1.74127e-05
252,17,5.85983e-05
