step,total_i
1049,0.00222508
1050,0.00222508
1051,0.0022251
1052,0.00222486
1053,0.00222458
1054,0.00222423
1055,0.00222367
1056,0.00222281
1057,0.00222177
1058,0.00222046
1059,0.00221909
1060,0.00221754
1061,0.00221578
1062,0.00221386
1063,0.00221178
1064,0.00220933
1065,0.00220667
1066,0.00220404
1067,0.00220092
1068,0.00219761
1069,0.00219411
1070,0.00219055
1071,0.00218662
1072,0.00218253
1073,0.00217841
1074,0.00217414
1075,0.00216943
1076,0.00216453
1077,0.00215955
1078,0.00215439
1079,0.00214912
1080,0.00214359
1081,0.00213785
1082,0.00213182
1083,0.0021256
1084,0.00211912
1085,0.00211262
1086,0.00210589
1087,0.00209907
1088,0.00209208
1089,0.00208495
1090,0.00207751
1091,0.00207018
1092,0.00206253
1093,0.00205461
1094,0.00204668
1095,0.00203853
1096,0.00203048
1097,0.00202227
1098,0.0020139
1099,0.00200559
1100,0.0019971
1101,0.00198854
1102,0.00197979
1103,0.00197094
1104,0.00196197
1105,0.00195296
1106,0.00194392
1107,0.0019349
1108,0.00192593
1109,0.00191684
1110,0.00190775
1111,0.00189867
1112,0.00188946
1113,0.0018804
1114,0.00187129
1115,0.00186226
1116,0.00185313
1117,0.00184402
1118,0.00183495
1119,0.00182596
1120,0.0018171
1121,0.00180814
1122,0.00179929
1123,0.00179034
1124,0.00178149
1125,0.00177283
1126,0.00176422
1127,0.00175564
1128,0.00174715
1129,0.00173885
1130,0.0017306
1131,0.00172243
1132,0.00171433
1133,0.00170641
1134,0.00169859
1135,0.00169087
1136,0.00168343
1137,0.00167593
1138,0.00166852
1139,0.00166129
1140,0.0016542
1141,0.00164728
1142,0.00164058
1143,0.00163404
1144,0.00162749
1145,0.00162107
1146,0.00161478
1147,0.00160877
1148,0.00160275
1149,0.00159696
1150,0.00159131
1151,0.00158591
1152,0.00158054
1153,0.00157536
1154,0.00157042
1155,0.00156544
1156,0.00156053
1157,0.00155618
1158,0.0015519
1159,0.00154777
1160,0.00154373
1161,0.00153975
1162,0.00153605
1163,0.00153237
1164,0.00152868
1165,0.00152524
1166,0.00152217
1167,0.00151919
1168,0.00151624
1169,0.00151367
1170,0.00151091
1171,0.00150859
1172,0.00150643
1173,0.00150459
1174,0.00150243
1175,0.00150062
1176,0.00149902
1177,0.00149756
1178,0.00149626
1179,0.00149519
1180,0.00149421
1181,0.00149326
1182,0.00149254
1183,0.00149198
1184,0.00149134
1185,0.00149092
1186,0.00149077
1187,0.00149057
1188,0.00149057
1189,0.00149086
1190,0.00149099
1191,0.00149146
1192,0.00149207
1193,0.00149271
1194,0.00149351
1195,0.00149434
1196,0.00149526
1197,0.00149632
1198,0.00149733
1199,0.00149857
1200,0.00149978
1201,0.00150082
1202,0.00150208
1203,0.00150344
1204,0.00150497
1205,0.00150666
1206,0.00150825
1207,0.00151006
1208,0.00151185
1209,0.0015138
1210,0.00151573
1211,0.00151758
1212,0.00151959
1213,0.00152152
1214,0.00152359
1215,0.00152577
1216,0.0015279
1217,0.00153014
1218,0.00153231
1219,0.00153448
1220,0.00153679
1221,0.00153898
1222,0.00154123
1223,0.00154345
1224,0.00154562
1225,0.00154784
1226,0.00154999
1227,0.00155223
1228,0.00155445
1229,0.00155642
1230,0.00155858
1231,0.00156066
1232,0.00156267
1233,0.00156473
1234,0.00156671
1235,0.00156861
1236,0.00157054
1237,0.00157243
1238,0.00157413
1239,0.00157584
1240,0.00157754
1241,0.00157915
1242,0.0015807
1243,0.00158223
1244,0.00158367
1245,0.00158507
1246,0.00158638
1247,0.00158759
1248,0.00158881
1249,0.00158989
1250,0.00159105
1251,0.00159204
1252,0.00159318
1253,0.00159402
1254,0.00159494
1255,0.00159555
1256,0.00159623
1257,0.00159677
1258,0.00159734
1259,0.00159769
1260,0.00159796
1261,0.00159823
1262,0.00159851
1263,0.00159867
1264,0.00159879
1265,0.00159886
1266,0.0015988
1267,0.00159873
1268,0.00159855
1269,0.00159829
1270,0.00159798
1271,0.00159763
1272,0.00159731
1273,0.00159683
1274,0.00159635
1275,0.00159587
1276,0.00159527
1277,0.00159472
1278,0.00159418
1279,0.00159352
1280,0.00159297
1281,0.00159246
1282,0.00159188
1283,0.00159109
1284,0.00159035
1285,0.00158959
1286,0.00158884
1287,0.00158802
1288,0.00158724
1289,0.00158651
1290,0.00158588
1291,0.00158511
1292,0.00158432
1293,0.00158357
1294,0.00158279
1295,0.00158195
1296,0.00158119
1297,0.00158057
1298,0.00158005
1299,0.00157935
1300,0.00157878
1301,0.00157815
1302,0.00157769
1303,0.00157729
1304,0.00157699
1305,0.0015766
1306,0.00157639
1307,0.00157621
1308,0.001576
1309,0.00157571
1310,0.00157562
1311,0.00157553
1312,0.00157543
1313,0.00157531
1314,0.00157532
1315,0.00157548
1316,0.00157558
1317,0.00157562
1318,0.00157588
1319,0.00157607
1320,0.00157626
1321,0.00157659
1322,0.00157689
1323,0.00157731
1324,0.00157769
1325,0.00157805
1326,0.00157847
1327,0.00157916
1328,0.00157979
1329,0.00158047
1330,0.00158101
1331,0.00158154
1332,0.0015822
1333,0.00158293
1334,0.00158363
1335,0.00158425
1336,0.00158498
1337,0.0015858
1338,0.00158644
1339,0.00158714
1340,0.00158778
1341,0.00158851
1342,0.0015894
1343,0.00159014
1344,0.00159097
1345,0.00159182
1346,0.00159247
1347,0.00159329
1348,0.00159419
1349,0.00159488
1350,0.00159567
1351,0.00159641
1352,0.00159704
1353,0.00159756
1354,0.00159816
1355,0.00159866
1356,0.00159919
1357,0.00159959
1358,0.00159988
1359,0.00160035
1360,0.00160048
1361,0.00160075
1362,0.00160078
1363,0.00160099
1364,0.00160125
1365,0.00160109
1366,0.00160109
1367,0.00160093
1368,0.00160048
1369,0.00160016
1370,0.00159982
1371,0.00159949
1372,0.00159889
1373,0.0015982
1374,0.00159771
1375,0.00159703
1376,0.00159651
1377,0.00159568
1378,0.00159463
1379,0.00159373
1380,0.00159266
1381,0.00159157
1382,0.0015904
1383,0.00158901
1384,0.00158774
1385,0.00158627
1386,0.00158466
1387,0.00158304
1388,0.00158155
1389,0.00157981
1390,0.00157795
1391,0.00157599
1392,0.00157413
1393,0.00157226
1394,0.00157023
1395,0.00156804
1396,0.00156582
1397,0.00156361
1398,0.00156119
1399,0.00155875
1400,0.00155618
1401,0.00155381
1402,0.00155138
1403,0.00154865
1404,0.0015461
1405,0.00154334
1406,0.00154052
1407,0.00153776
1408,0.0015349
1409,0.00153196
1410,0.00152905
1411,0.00152617
1412,0.00152319
1413,0.00152013
1414,0.00151704
1415,0.00151395
1416,0.00151068
1417,0.00150754
1418,0.00150431
1419,0.00150098
1420,0.00149769
1421,0.00149435
1422,0.00149104
1423,0.00148775
1424,0.0014845
1425,0.00148105
1426,0.00147758
1427,0.00147399
1428,0.00147053
1429,0.00146702
1430,0.00146348
1431,0.00146008
1432,0.0014566
1433,0.00145313
1434,0.00144969
1435,0.00144638
1436,0.00144305
1437,0.00143956
1438,0.00143611
1439,0.00143271
1440,0.00142942
1441,0.00142587
1442,0.00142238
1443,0.00141902
1444,0.0014155
1445,0.0014122
1446,0.00140883
1447,0.00140553
1448,0.0014023
1449,0.00139899
1450,0.00139568
1451,0.00139251
1452,0.00138946
1453,0.00138624
1454,0.00138312
1455,0.00138015
1456,0.00137714
1457,0.00137416
1458,0.00137126
1459,0.00136841
1460,0.00136543
1461,0.00136262
1462,0.00135985
1463,0.00135704
1464,0.00135432
1465,0.00135165
1466,0.00134903
1467,0.00134638
1468,0.00134382
1469,0.00134136
1470,0.00133887
1471,0.00133648
1472,0.00133406
1473,0.0013318
1474,0.0013296
1475,0.00132739
1476,0.00132538
1477,0.00132325
1478,0.00132129
1479,0.00131937
1480,0.0013174
1481,0.00131563
1482,0.00131383
1483,0.00131205
1484,0.00131025
1485,0.00130867
1486,0.00130721
1487,0.00130579
1488,0.00130437
1489,0.00130301
1490,0.00130171
1491,0.00130047
1492,0.00129943
1493,0.00129832
1494,0.00129725
1495,0.00129643
1496,0.00129552
1497,0.0012947
1498,0.00129395
1499,0.00129332
1500,0.00129285
1501,0.00129222
1502,0.0012918
1503,0.0012914
1504,0.0012912
1505,0.00129112
1506,0.0012911
1507,0.00129109
1508,0.00129124
1509,0.00129144
1510,0.00129183
1511,0.00129224
1512,0.00129262
1513,0.00129327
1514,0.00129386
1515,0.00129462
1516,0.00129543
1517,0.00129643
1518,0.00129768
1519,0.00129898
1520,0.0013003
1521,0.0013018
1522,0.00130339
1523,0.0013052
1524,0.00130712
1525,0.00130907
1526,0.00131108
1527,0.00131337
1528,0.00131566
1529,0.00131826
1530,0.00132097
1531,0.00132378
1532,0.00132697
1533,0.00133008
1534,0.00133327
1535,0.00133668
1536,0.0013402
1537,0.00134384
1538,0.0013476
1539,0.0013517
1540,0.00135585
1541,0.00136018
1542,0.00136478
1543,0.00136938
1544,0.00137421
1545,0.00137932
1546,0.00138432
1547,0.00138975
1548,0.00139538
1549,0.00140116
1550,0.00140711
1551,0.00141323
1552,0.00141961
1553,0.00142601
1554,0.0014327
1555,0.00143957
1556,0.00144687
1557,0.00145417
1558,0.00146177
1559,0.00146941
1560,0.0014775
1561,0.00148574
1562,0.00149428
1563,0.00150282
1564,0.00151186
1565,0.00152091
1566,0.00153031
1567,0.00153987
1568,0.00154953
1569,0.00155944
1570,0.00156975
1571,0.00158023
1572,0.00159098
1573,0.00160199
1574,0.00161323
1575,0.00162468
1576,0.00163639
1577,0.00164839
1578,0.00166066
1579,0.00167309
1580,0.00168578
1581,0.00169848
1582,0.00171167
1583,0.001725
1584,0.0017386
1585,0.00175243
1586,0.00176649
1587,0.0017806
1588,0.0017951
1589,0.00180971
1590,0.00182454
1591,0.00183937
1592,0.00185479
1593,0.00187016
1594,0.00188564
1595,0.00190138
1596,0.0019174
1597,0.00193344
1598,0.00194965
1599,0.00196593
1600,0.00198227
1601,0.00199895
1602,0.00201568
1603,0.00203251
1604,0.00204948
1605,0.00206645
1606,0.00208356
1607,0.00210064
1608,0.00211767
1609,0.00213469
1610,0.00215171
1611,0.00216863
1612,0.00218577
1613,0.00220275
1614,0.00221955
1615,0.00223626
1616,0.00225289
1617,0.00226942
1618,0.00228575
1619,0.00230191
1620,0.00231781
1621,0.00233366
1622,0.00234911
1623,0.00236447
1624,0.00237938
1625,0.00239397
1626,0.00240825
1627,0.0024222
1628,0.00243557
1629,0.00244851
1630,0.00246111
1631,0.00247338
1632,0.00248531
1633,0.00249658
1634,0.00250741
1635,0.0025177
1636,0.00252746
1637,0.00253665
1638,0.00254527
1639,0.00255313
1640,0.00256053
1641,0.00256737
1642,0.00257346
1643,0.00257888
1644,0.00258388
1645,0.00258804
1646,0.00259157
1647,0.0025943
1648,0.00259639
1649,0.00259781
1650,0.00259856
1651,0.00259844
1652,0.0025977
1653,0.00259623
