id,parent_id,depth,creation_step,i,r,is_infected
494,456,34,1083,0,0.00286562,0
495,448,33,1088,0,1.12013e-05,0
496,473,34,1097,0,3.52996e-05,0
497,455,33,1101,0,1.05657e-05,0
498,473,34,1101,0,1.40653e-05,0
499,477,35,1101,0,0.00263446,0
500,469,34,1108,0,5.51882e-05,0
501,477,35,1108,0,0.00507909,0
502,474,34,1111,0,0.000223375,0
503,455,33,1116,0,6.83641e-06,0
504,480,34,1118,0,2.26088e-05,0
505,494,35,1119,0,0.000532817,0
506,485,35,1120,0,0.00125684,0
507,480,34,1121,0,1.12555e-05,0
508,483,34,1122,0,1.24102e-05,0
509,483,34,1123,0,0.000112558,0
510,474,34,1125,0,5.43892e-05,0
511,468,34,1126,0,2.02898e-07,0
512,472,34,1126,0,1.9209e-05,0
513,475,34,1127,0,9.17797e-05,0
514,479,35,1127,0,0.00184789,0
515,468,34,1132,0,2.38794e-07,0
516,494,35,1135,0,0.0025849,0
517,485,35,1137,0,0.00173985,0
518,479,35,1138,0,0.00107565,0
519,484,34,1139,0,4.21169e-05,0
520,469,34,1143,0,1.43052e-06,0
521,471,34,1144,0,5.10424e-08,0
522,488,34,1144,0,9.50552e-06,0
523,472,34,1145,0,2.60385e-05,0
524,475,34,1149,0,1.22303e-05,0
525,488,34,1151,0,2.62696e-06,0
526,484,34,1162,0,1.10465e-05,0
527,492,34,1163,0,1.56205e-05,0
528,471,34,1165,0,2.85935e-06,0
529,486,34,1166,0,1.61348e-07,0
530,502,35,1171,0,8.53364e-06,0
531,491,34,1177,0,1.11855e-05,0
532,502,35,1177,0,3.01603e-05,0
533,486,34,1178,0,1.03174e-05,0
534,516,36,1183,0,0.0037116,0
535,501,36,1184,0,0.00188682,0
536,489,34,1185,0,5.38748e-06,0
537,499,36,1187,0,0.00189676,0
538,517,36,1187,0,0.00317551,0
539,514,36,1188,0,0.000801502,0
540,492,34,1189,0,7.58107e-09,0
541,499,36,1190,0,0.00282562,0
542,509,35,1190,0,2.34979e-07,0
543,509,35,1191,0,2.55904e-06,0
544,491,34,1192,0,2.62055e-07,0
545,489,34,1193,0,1.27273e-07,0
546,513,35,1193,0,2.35319e-05,0
547,516,36,1193,0,0.00130626,0
548,501,36,1194,0,0.00231998,0
549,490,34,1195,0,2.8452e-08,0
550,513,35,1195,0,1.38991e-05,0
551,506,36,1196,0,0.000251086,0
552,517,36,1197,0,0.000608807,0
553,518,36,1198,0,0.000515935,0
554,506,36,1201,0,0.000416783,0
555,490,34,1203,0,1.87257e-06,0
556,514,36,1204,0,0.000945326,0
557,518,36,1208,0,0.00055683,0
558,500,35,1215,0,1.3832e-06,0
559,510,35,1215,0,1.72226e-07,0
560,510,35,1218,0,1.09929e-05,0
561,505,36,1232,0,0.000116335,0
562,505,36,1233,0,0.000116093,0
563,538,37,1235,0,0.00114691,0
564,541,37,1238,0,0.00260657,0
565,538,37,1240,0,0.00211124,0
566,534,37,1241,0,0.00429453,0
567,519,35,1243,0,4.88912e-06,0
568,519,35,1246,0,7.27152e-06,0
569,537,37,1246,0,0.000934775,0
570,548,37,1250,0,0.000970847,0
571,500,35,1251,0,2.55333e-06,0
572,537,37,1252,0,0.000818052,0
573,534,37,1255,0,0.00203397,0
574,547,37,1259,0,0.000208817,0
575,548,37,1259,0,0.00030844,0
576,541,37,1262,0,0.00175223,0
577,547,37,1262,0,0.000328884,0
578,535,37,1263,0,0.00137835,0
579,552,37,1267,0,3.80213e-05,0
580,535,37,1269,0,0.000395954,0
581,557,37,1269,0,0.000358694,0
582,539,37,1271,0,0.000117834,0
583,553,37,1274,0,0.000198163,0
584,554,37,1276,0,0.000118525,0
585,557,37,1276,0,4.79828e-05,0
586,552,37,1282,0,8.81889e-05,0
587,539,37,1283,0,0.000171776,0
588,556,37,1283,0,0.000185098,0
589,554,37,1284,0,8.21525e-05,0
590,551,37,1286,0,0.000191324,0
591,553,37,1289,0,6.61814e-05,0
592,556,37,1292,0,0.000120641,0
593,564,38,1298,0,0.00686968,0
594,551,37,1302,0,5.96324e-06,0
595,566,38,1304,0,0.00168904,0
596,566,38,1306,0,0.00208203,0
597,573,38,1306,0,0.000541212,0
598,576,38,1306,0,0.000440248,0
599,578,38,1312,0,0.000747613,0
600,563,38,1316,0,0.000467373,0
601,562,37,1317,0,2.71123e-07,0
602,570,38,1318,0,6.33486e-05,0
603,561,37,1319,0,2.16319e-05,0
604,565,38,1319,0,0.000979686,0
605,564,38,1320,0,0.000907393,0
606,578,38,1321,0,0.000204056,0
607,562,37,1322,0,2.99466e-05,0
608,569,38,1322,0,0.00054026,0
609,572,38,1322,0,0.00031639,0
610,561,37,1323,0,6.92932e-06,0
611,569,38,1324,0,0.000734956,0
612,563,38,1325,0,0.000508112,0
613,573,38,1325,0,0.000624396,0
614,572,38,1329,0,0.000812856,0
615,565,38,1332,0,0.000605473,0
616,570,38,1333,0,0.000333509,0
617,576,38,1333,0,0.000418821,0
618,577,38,1342,0,0.000119177,0
619,580,38,1348,0,0.000269348,0
620,581,38,1348,0,9.31686e-05,0
621,593,39,1349,0,0.00328942,0
622,577,38,1352,0,4.2137e-05,0
623,574,38,1355,0,3.47616e-05,0
624,583,38,1356,0,3.06324e-05,0
625,581,38,1357,0,2.1832e-05,0
626,575,38,1358,0,9.20656e-05,0
627,588,38,1359,0,1.25646e-05,0
628,590,38,1360,0,6.00474e-07,0
629,574,38,1364,0,2.07329e-05,0
630,587,38,1364,0,1.30735e-05,0
631,593,39,1365,0,0.00722754,0
632,580,38,1367,0,4.74551e-05,0
633,588,38,1368,0,3.52654e-05,0
634,592,38,1368,0,0.00010137,0
635,582,38,1369,0,5.60449e-07,0
636,582,38,1371,0,4.70477e-05,0
637,575,38,1373,0,2.38152e-05,0
638,583,38,1373,0,5.92608e-05,0
639,587,38,1373,0,3.49656e-06,0
640,595,39,1376,0,0.000258177,0
641,596,39,1377,0,0.000415688,0
642,584,38,1379,0,8.05544e-06,0
643,595,39,1380,0,0.000770389,0
644,604,39,1380,0,0.0014907,0
645,614,39,1380,0,0.00074319,0
646,611,39,1383,0,0.000404853,0
647,584,38,1384,0,3.32565e-05,0
648,589,38,1384,0,2.30521e-05,0
649,590,38,1384,0,2.02113e-05,0
650,596,39,1384,0,0.000826772,0
651,604,39,1386,0,0.000207651,0
652,605,39,1387,0,0.00011798,0
653,611,39,1387,0,0.000513327,0
654,615,39,1390,0,0.000831412,0
655,591,38,1391,0,2.15595e-07,0
656,615,39,1391,0,5.96744e-05,0
657,586,38,1392,0,2.92454e-05,0
658,608,39,1393,0,0.000501618,0
659,591,38,1395,0,1.9531e-08,0
660,599,39,1395,0,7.19126e-05,0
661,600,39,1395,0,0.000124676,0
662,605,39,1395,0,0.000224434,0
663,612,39,1396,0,2.63105e-05,0
664,614,39,1397,0,0.000188442,0
665,612,39,1399,0,6.8342e-05,0
666,589,38,1400,0,7.28618e-06,0
667,613,39,1400,0,8.87031e-05,0
668,617,39,1400,0,6.10282e-05,0
669,600,39,1401,0,4.03755e-05,0
670,608,39,1401,0,0.000185401,0
671,599,39,1404,0,0.000450347,0
672,597,39,1407,0,0.000161228,0
673,609,39,1410,0,0.000170198,0
674,616,39,1411,0,7.68435e-05,0
675,619,39,1411,0,3.69357e-05,0
676,598,39,1412,0,1.84012e-05,0
677,616,39,1412,0,8.92754e-05,0
678,631,40,1414,0,0.00363015,0
679,609,39,1416,0,4.56899e-05,0
680,613,39,1416,0,8.04394e-05,0
681,617,39,1416,0,0.000128661,0
682,597,39,1417,0,2.59839e-05,0
683,619,39,1417,0,0.000260602,0
684,592,38,1418,0,3.42732e-08,0
685,631,40,1418,0,0.0105551,0
686,586,38,1422,0,4.88589e-09,0
687,585,38,1423,0,5.85665e-06,0
688,621,40,1424,0,0.00369414,0
689,621,40,1430,0,0.00166351,0
690,585,38,1431,0,9.78167e-09,0
691,606,39,1434,0,2.21084e-07,0
692,644,40,1434,0,0.000433817,0
693,606,39,1435,0,5.3644e-06,0
694,598,39,1438,0,3.67502e-05,0
695,644,40,1438,0,0.000502946,0
696,634,39,1442,0,1.39299e-05,0
697,626,39,1443,0,2.58518e-05,0
698,618,39,1446,0,3.21697e-05,0
699,654,40,1446,0,3.80405e-05,0
700,634,39,1447,0,7.64299e-06,0
701,618,39,1449,0,5.06574e-05,0
702,620,39,1450,0,1.8198e-08,0
703,626,39,1451,0,5.45311e-08,0
704,645,40,1452,0,0.000996878,0
705,654,40,1453,0,3.50728e-05,0
706,643,40,1459,0,6.71847e-05,0
707,645,40,1461,0,5.50746e-05,0
708,653,40,1465,0,0.000319013,0
709,643,40,1468,0,0.000292981,0
710,653,40,1468,0,0.000310544,0
711,685,41,1468,0,0.015892,0
712,620,39,1469,0,1.09234e-07,0
